Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Deliverable Volume,%Deliverble
MUNDRAPORT,440,770,1050,770,959,962.9,984.72,27294366,9859619,0.3612
MUNDRAPORT,962.9,984,990,874,885,893.9,941.38,4581338,1453278,0.3172
MUNDRAPORT,893.9,909,914.75,841,887,884.2,888.09,5124121,1069678,0.2088
MUNDRAPORT,884.2,890,958,890,929,921.55,929.17,4609762,1260913,0.2735
MUNDRAPORT,921.55,939.75,995,922,980,969.3,965.65,2977470,816123,0.2741
MUNDRAPORT,969.3,985,1056,976,1049,1041.45,1015.39,4849250,1537667,0.3171
MUNDRAPORT,1041.45,1061,1099.5,1050,1084,1082.45,1082.79,2848209,904260,0.3175
MUNDRAPORT,1082.45,1089,1109.7,1051,1090.1,1081.3,1087.03,1749516,825691,0.472
MUNDRAPORT,1081.3,1100,1134,1078,1100,1102.4,1106.57,2247904,697763,0.3104
MUNDRAPORT,1102.4,1110,1110,1061.1,1073.55,1075.4,1080.38,1012350,417514,0.4124
MUNDRAPORT,1075.4,1081,1089,1041,1046,1047.65,1067.8,810464,415191,0.5123
MUNDRAPORT,1047.65,1032,1065,1016,1036.9,1036.8,1043.92,744799,363848,0.4885
MUNDRAPORT,1036.8,1040,1150,1030.25,1131.15,1129.95,1109.09,3067687,1040076,0.339
MUNDRAPORT,1129.95,1139.9,1140,1101.1,1107,1110.5,1119.55,1070737,525239,0.4905
MUNDRAPORT,1110.5,1140,1168,1021.5,1052,1044.25,1102.42,1404955,670298,0.4771
MUNDRAPORT,1044.25,1045,1109.9,1031.55,1085,1074.95,1077.84,1226984,449420,0.3663
MUNDRAPORT,1074.95,1091,1116,1046.3,1078,1066.9,1082.93,845666,344171,0.407
MUNDRAPORT,1066.9,1083.5,1083.5,1051,1067,1060.2,1065.52,623288,276356,0.4434
MUNDRAPORT,1060.2,1095,1192,1085.25,1160,1156.8,1160.77,2060892,807879,0.392
MUNDRAPORT,1156.8,1175,1214,1148,1212,1199.9,1183.3,1467031,469389,0.32
MUNDRAPORT,1199.9,1215,1240,1204,1209,1211.65,1222.58,977495,355431,0.3636
MUNDRAPORT,1211.65,1189.4,1274,1175,1270,1249.1,1221.31,1164138,503564,0.4326
MUNDRAPORT,1249.1,1263.35,1295,1261,1268,1268.8,1277.64,737249,316377,0.4291
MUNDRAPORT,1268.8,1279,1319,1263.7,1308,1296.85,1285.72,491348,172911,0.3519
MUNDRAPORT,1296.85,1310.25,1324,1270,1300.15,1307.45,1302.15,703815,221397,0.3146
MUNDRAPORT,1307.45,1305,1314.7,1261.15,1267.15,1275.8,1289.24,505058,217437,0.4305
MUNDRAPORT,1275.8,1278.8,1294.8,1233,1239.9,1240.35,1256.03,550795,230237,0.418
MUNDRAPORT,1240.35,1240,1278.9,1215,1233,1227.25,1244.76,630963,239404,0.3794
MUNDRAPORT,1227.25,1240,1255,1185,1202,1204.8,1217.08,530499,228866,0.4314
MUNDRAPORT,1204.8,1200,1210,1151,1181,1180.25,1176.37,627507,259280,0.4132
MUNDRAPORT,1180.25,1185,1199.8,1110,1118,1121.55,1156.44,438806,200150,0.4561
MUNDRAPORT,1121.55,1128,1130,1063,1096,1085.85,1087.78,616938,312121,0.5059
MUNDRAPORT,1085.85,1082.4,1082.4,1031.1,1035,1035.15,1042.4,835916,570824,0.6829
MUNDRAPORT,1035.15,1045.6,1078.7,1036.05,1057,1049.55,1050.69,830493,504259,0.6072
MUNDRAPORT,1049.55,1046,1064,1000,1038.3,1030.4,1032.86,816188,478517,0.5863
MUNDRAPORT,1030.4,1050,1053.5,1011,1014.95,1020.9,1033.73,336003,145194,0.4321
MUNDRAPORT,1020.9,1010,1072,974.9,995,994.6,1022.57,676854,278615,0.4116
MUNDRAPORT,994.6,995,1005,795.7,853,825.05,880.77,788623,474223,0.6013
MUNDRAPORT,825.05,700,810,660.05,739,735.55,703.2,546161,376194,0.6888
MUNDRAPORT,735.55,760,881.9,760,862.2,857,818.67,535462,283881,0.5302
MUNDRAPORT,857,875,935,812,814.7,814.15,854.83,511017,258346,0.5056
MUNDRAPORT,814.15,820,883,820,866,865.7,858.33,404045,178177,0.441
MUNDRAPORT,865.7,835,835,783.2,822,820.8,804.38,467052,241365,0.5168
MUNDRAPORT,820.8,840,860,820.05,840,840.75,841.27,220070,74141,0.3369
MUNDRAPORT,840.75,849.8,864,822.25,834,830.45,833.82,286190,165926,0.5798
MUNDRAPORT,830.45,831,849.9,812.55,836.6,837.65,833.58,194300,103890,0.5347
MUNDRAPORT,837.65,831.65,852.3,820,826,825.35,828.09,204391,115715,0.5661
MUNDRAPORT,825.35,847.9,872.4,840,859,856.1,858.77,280230,128195,0.4575
MUNDRAPORT,856.1,856,857,830,834.65,834.3,842.06,162093,96153,0.5932
MUNDRAPORT,834.3,803,824.9,780,809,807.5,810.5,193260,110565,0.5721
MUNDRAPORT,807.5,825,830,792,795.9,796.25,809.53,212932,106275,0.4991
MUNDRAPORT,796.25,810,830,765.15,786,784.05,781.48,285025,154857,0.5433
MUNDRAPORT,784.05,785,785,695,699,711.2,736.23,223955,118002,0.5269
MUNDRAPORT,711.2,725,734.95,655.6,689,681.3,681.38,303409,187180,0.6169
MUNDRAPORT,681.3,815.9,815.9,664,678,670.95,681.68,214900,108761,0.5061
MUNDRAPORT,670.95,680,714,680,710,709.8,704.71,269032,148611,0.5524
MUNDRAPORT,709.8,700,763.7,681.25,729,728.75,734.23,353049,110621,0.3133
MUNDRAPORT,728.75,735,775,735,772,771.6,762.33,342580,154099,0.4498
MUNDRAPORT,771.6,779,786.9,760.2,767,763.9,772.24,137412,47543,0.346
MUNDRAPORT,763.9,750,760,720,740,732.1,730.61,197489,89397,0.4527
MUNDRAPORT,732.1,762,762,730.1,738.9,737.6,741.53,125558,37956,0.3023
MUNDRAPORT,737.6,723,737,715,724.5,724,726.52,81070,31808,0.3924
MUNDRAPORT,724,725.05,758.9,702.3,707,707.65,711.7,152803,71403,0.4673
MUNDRAPORT,707.65,725,744,713,735,735.8,733.73,251269,53136,0.2115
MUNDRAPORT,735.8,749.7,783.4,741,744,746.4,762.47,305320,84490,0.2767
MUNDRAPORT,746.4,740,754.9,725.05,740,737.75,738.91,112491,36730,0.3265
MUNDRAPORT,737.75,738,761,725.4,730,735.65,742.88,203872,65460,0.3211
MUNDRAPORT,735.65,725,725,692.3,698.1,699.25,709.31,182510,101025,0.5535
MUNDRAPORT,699.25,705,708.95,642,671.05,669.25,663.93,400996,196398,0.4898
MUNDRAPORT,669.25,668,672,636,638,640.9,649.58,263263,147818,0.5615
MUNDRAPORT,640.9,630,630,577,608,609.75,595.79,452949,265748,0.5867
MUNDRAPORT,609.75,600,610,508.15,600,601.15,588.84,235966,99760,0.4228
MUNDRAPORT,601.15,593,635.75,575,621.5,623.7,623.24,226830,84493,0.3725
MUNDRAPORT,623.7,640,649.95,591,592,602.9,625.61,210739,101740,0.4828
MUNDRAPORT,602.9,585,600,562.05,569,566.3,579.98,165515,79053,0.4776
MUNDRAPORT,566.3,569,577,554.05,555,561,561.01,157189,69025,0.4391
MUNDRAPORT,561,549,549,507,507.3,511.45,524.19,201577,97073,0.4816
MUNDRAPORT,511.45,505,525,490,500.95,502.4,505.47,257617,115912,0.4499
MUNDRAPORT,502.4,530,530,495,495.05,497.75,510,196021,102479,0.5228
MUNDRAPORT,497.75,502,505.9,465,470.1,469.2,474.92,542915,436778,0.8045
MUNDRAPORT,469.2,475,505,465.05,495.25,497.15,493.01,746747,536222,0.7181
MUNDRAPORT,497.15,502,522,490.25,501.15,504.05,508.57,278415,127422,0.4577
MUNDRAPORT,504.05,496.1,521,486,517,516,512.99,359725,138563,0.3852
MUNDRAPORT,516,515,619.2,515,619.2,619.2,578.13,1546339,517738,0.3348
MUNDRAPORT,619.2,625,673.4,570,577,578.75,629.52,2134980,376435,0.1763
MUNDRAPORT,578.75,585,617,584.75,596,592.2,598.4,728839,152120,0.2087
MUNDRAPORT,592.2,623.8,633.4,601,608.1,608.35,614.65,867551,243344,0.2805
MUNDRAPORT,608.35,611,621.4,592.1,598.05,602.3,605.99,780026,316531,0.4058
MUNDRAPORT,602.3,614,614,585,590.65,593.2,594.38,386898,138769,0.3587
MUNDRAPORT,593.2,595,605.3,570,591.8,593.4,590.59,466172,160462,0.3442
MUNDRAPORT,593.4,625,625,585.1,588,589.65,590.78,217730,64935,0.2982
MUNDRAPORT,589.65,580.5,623,575.15,598.9,597.75,605.82,507422,89005,0.1754
MUNDRAPORT,597.75,615,615,586,611,608.6,609.93,495019,230605,0.4659
MUNDRAPORT,608.6,610,620,605,610.75,610.2,612.7,301522,115645,0.3835
MUNDRAPORT,610.2,605,650,600,649.6,642.55,630.29,732463,202598,0.2766
MUNDRAPORT,642.55,657,662,632,641,637.4,648.05,440549,141662,0.3216
MUNDRAPORT,637.4,648.8,659.4,621.05,627.9,626.35,642.94,442496,166569,0.3764
MUNDRAPORT,626.35,640,654.95,633.1,646,645.15,644.67,257175,67098,0.2609
MUNDRAPORT,645.15,640,673.4,638.15,671.9,665.85,661.65,574697,174611,0.3038
MUNDRAPORT,665.85,675,677.9,652.4,668.3,666.7,664.87,362552,106485,0.2937
MUNDRAPORT,666.7,668,677.85,658.1,662,665.25,665.17,255828,114951,0.4493
MUNDRAPORT,665.25,670,718,659.1,717,712.15,700.58,1510614,484802,0.3209
MUNDRAPORT,712.15,725,741.1,703,737,736.45,727.8,1072156,334387,0.3119
MUNDRAPORT,736.45,738.25,748,711.1,740,740.6,729.11,600573,154227,0.2568
MUNDRAPORT,740.6,740,774,715,755.05,760.15,760.03,731082,159754,0.2185
MUNDRAPORT,760.15,766.25,788,763.65,766.05,766.65,775.93,607475,140632,0.2315
MUNDRAPORT,766.65,681.7,781.7,681.7,752.55,754.4,768.38,248543,60428,0.2431
MUNDRAPORT,754.4,730,767.9,725.1,761,757.9,754.53,418643,122370,0.2923
MUNDRAPORT,757.9,762,774.5,745,769,768.5,765.19,295381,91621,0.3102
MUNDRAPORT,768.5,760,785,752,783.95,781.5,771.48,422630,146167,0.3459
MUNDRAPORT,781.5,770.45,803.75,770,778.8,783.75,787.68,657740,158828,0.2415
MUNDRAPORT,783.75,719.2,814.8,719.2,810.7,807.55,797.86,1245745,452806,0.3635
MUNDRAPORT,807.55,818.4,827.5,786.15,793.9,792.85,808.14,469124,106361,0.2267
MUNDRAPORT,792.85,790,802.25,782,789,789.2,792.56,168459,39267,0.2331
MUNDRAPORT,789.2,795,808.9,785,787,790.85,797.6,139664,42034,0.301
MUNDRAPORT,790.85,795,800,771.2,775.75,775.6,785.1,184836,87551,0.4737
MUNDRAPORT,775.6,776,904.7,770,890,884.05,855.33,3561137,1308911,0.3676
MUNDRAPORT,884.05,894.55,926,869.8,900,901.35,903.34,2516620,700013,0.2782
MUNDRAPORT,901.35,897.8,914.95,868.05,885.5,884.4,892.79,1339876,284942,0.2127
MUNDRAPORT,884.4,890,904,846,851,853.65,878.61,691813,161057,0.2328
MUNDRAPORT,853.65,848.45,905.4,829,902,887.45,868.68,1011808,324997,0.3212
MUNDRAPORT,887.45,909.9,926,860.4,864,873.05,889.71,1280280,225529,0.1762
MUNDRAPORT,873.05,873,883,835,840.1,841,859.2,617676,145633,0.2358
MUNDRAPORT,841,851.15,867.9,829.15,834.05,834.85,850.21,447906,72979,0.1629
MUNDRAPORT,834.85,843.1,847.7,760,788,790.4,794.59,851156,256211,0.301
MUNDRAPORT,790.4,795.5,827,760.05,761,765.8,793.67,849170,109036,0.1284
MUNDRAPORT,765.8,741,769.9,733.35,740.3,739.4,746.5,532850,140129,0.263
MUNDRAPORT,739.4,742,755.7,692.25,704,702.2,725.64,383088,64635,0.1687
MUNDRAPORT,702.2,701,708.9,635.1,656,657.55,662.94,715963,215083,0.3004
MUNDRAPORT,657.55,669.9,681.25,635,636.5,639.6,658.56,568394,105776,0.1861
MUNDRAPORT,639.6,620,626,591.3,618.05,612.6,607.07,461334,120485,0.2612
MUNDRAPORT,612.6,599.2,618.85,580,589,589.25,598.64,517227,137746,0.2663
MUNDRAPORT,589.25,598,631.4,595.2,606.9,607.1,612.29,768360,162505,0.2115
MUNDRAPORT,607.1,597.9,604.4,570,588,593.5,588.72,506097,171952,0.3398
MUNDRAPORT,593.5,593.5,614.9,592.2,596,600.3,603.49,511556,86442,0.169
MUNDRAPORT,600.3,610,639.8,606.05,621,620.9,627.89,962136,121814,0.1266
MUNDRAPORT,620.9,621,634.75,612,632,630.6,628.23,346842,65496,0.1888
MUNDRAPORT,630.6,630.6,659,625.2,631,628.9,644.63,694398,107460,0.1548
MUNDRAPORT,628.9,618,654,611.55,652,649.15,639.65,749162,229529,0.3064
MUNDRAPORT,649.15,653.85,660.9,620,622,624.25,640.91,716333,192903,0.2693
MUNDRAPORT,624.25,620,620,562.05,581,571.05,582.26,839833,430712,0.5129
MUNDRAPORT,571.05,573.55,590,563.95,571.05,568.7,575.63,673358,346846,0.5151
MUNDRAPORT,568.7,560,563,541.1,547.65,549.7,550.13,652878,288950,0.4426
MUNDRAPORT,549.7,586,586,525,525.1,528.45,543.5,658769,256408,0.3892
MUNDRAPORT,528.45,505,513.85,488.35,499.05,496,500.4,680667,242622,0.3564
MUNDRAPORT,496,496,510.1,488.8,491.95,494.15,498.5,382763,68943,0.1801
MUNDRAPORT,494.15,500,505,475,476,478.15,485.27,265866,77215,0.2904
MUNDRAPORT,478.15,439,509.95,388.1,479.7,481.3,441.59,1975470,333455,0.1688
